what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435212386829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435212732317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435212733593
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435212735099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435212738949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435212747082
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435212747636
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435212747768
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435212748300
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435212748382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435212760688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435212767036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435212767920
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435212768561
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435212776831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1435212884476
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435212885793
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435212892958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435212895850
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435213116426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213120092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213124467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213125086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213125181
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435213125660
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213125738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435213187968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435213195363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435213197211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435213197881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435213198927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1435213207222
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435213208898
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213220727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435213248110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435213255023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213276130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213277167
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435213277778
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213283775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213322517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213323921
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435213324493
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213332355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435213431330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435213435838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435213437467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213444083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213445133
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435213445700
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213447687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1435213460092
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435213461248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213472988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435213477766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435213478229
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435213883756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213888013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213894094
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213894638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213894736
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435213895369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213895449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435213897774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435213905351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213913079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213913168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435213944143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213961699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435213962600
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435213963208
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435213969632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435213980284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214022813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214023755
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435214024345
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214032200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214045739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214046795
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435214047408
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214063040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435214090264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214352582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214356317
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1435214356616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214357120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214381335
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1435214381360
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435214383220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214387947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214394747
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214395412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214395536
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435214396129
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214398300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214402665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214406143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214410662
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435214414393
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214414492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214421352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214432123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214436423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214452535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214556894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214615778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214615856
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214621888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214628993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214651122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214830460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214838417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214838504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214842508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214868243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214869179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214882539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214882567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214887028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214895350
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435214895398
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1435214903898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214910562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214910639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214913729
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214913869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435214919487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1435214933038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214941447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214944162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214944348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214945648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214956242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214956265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214959727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435214966170
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435214966200
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435215025415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1435215034201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435215048497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435215048526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435215053286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435215061240
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435215062138
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1435215062900
